x	y
42.207	0.084
47.983	0.205
55.068	0.355
62.622	0.488
68.406	0.631
73.543	0.792
77.129	0.980
79.361	1.227
78.003	1.607
77.626	1.974
78.610	2.190
79.579	2.552
79.703	3.168
78.777	3.387
79.769	3.522
78.744	3.970
78.561	4.241
75.506	4.522
73.019	4.810
65.421	5.007
59.132	5.156
53.252	5.324
47.416	5.482
41.791	5.689
40.457	5.834
35.997	6.154
33.790	6.337
33.440	6.534
30.027	6.724
29.315	6.926
27.026	7.199
24.304	7.504
23.877	7.642
20.981	7.855
18.676	8.199
15.526	8.481
14.639	8.794
13.712	9.171
11.377	9.524
9.533	10.030
