x	y
25.371	0.078
46.871	0.126
62.957	0.228
80.063	0.400
90.693	0.559
98.682	0.799
101.898	1.020
103.236	1.346
104.180	1.646
104.494	1.813
105.576	2.045
105.576	2.294
105.872	2.553
105.938	2.759
106.897	2.958
105.782	3.097
106.187	3.348
105.125	3.718
104.537	4.014
102.833	4.390
100.885	4.585
98.290	4.836
95.536	5.043
92.495	5.253
90.621	5.462
88.002	5.651
83.867	5.839
83.020	6.013
79.571	6.252
75.454	6.462
73.557	6.630
70.990	6.891
67.751	7.183
63.465	7.565
58.601	7.980
55.025	8.366
50.463	8.626
47.141	8.937
43.458	9.213
39.875	9.516
35.707	9.756
32.940	9.955
