x	y
73.585	0.063
86.879	0.237
104.756	0.420
115.493	0.697
118.843	0.905
119.148	1.105
120.940	1.405
121.825	1.699
121.148	1.911
122.235	2.203
120.517	2.611
119.967	2.938
118.013	3.161
116.835	3.408
114.632	3.620
110.905	3.934
103.079	4.489
100.877	4.705
97.243	4.906
91.493	5.263
83.896	5.769
82.441	5.938
75.838	6.332
73.733	6.549
69.952	6.712
66.215	6.995
63.707	7.194
59.693	7.418
56.471	7.735
51.477	7.982
49.253	8.277
45.411	8.495
41.514	8.840
38.537	8.974
35.057	9.298
33.913	9.533
29.840	9.738
27.730	9.938
25.393	10.263
