x	y
18.454	0.098
23.570	0.325
34.257	0.629
43.929	0.925
49.835	1.147
52.373	1.293
54.285	1.451
55.827	1.711
56.471	1.960
56.267	2.198
57.617	2.494
57.325	2.811
56.006	2.955
57.444	3.249
56.366	3.550
56.768	3.722
56.666	3.955
57.375	4.073
57.203	4.357
56.702	4.490
57.321	4.756
56.924	4.893
57.189	5.135
56.728	5.323
56.808	5.606
56.729	5.841
57.236	5.960
55.818	6.241
52.724	6.469
47.905	6.670
43.293	6.845
35.845	7.069
29.637	7.400
27.320	7.664
26.422	7.949
24.624	8.197
21.208	8.612
21.105	8.844
18.303	9.233
16.098	9.660
13.568	10.114
11.972	10.268
