x	y
14.188	0.038
27.299	0.105
37.754	0.201
44.862	0.294
53.438	0.459
60.831	0.656
66.583	0.799
70.862	0.954
75.638	1.153
77.929	1.362
78.050	1.620
80.791	1.992
80.030	2.266
79.210	2.362
80.112	2.563
79.164	2.803
80.090	3.024
80.203	3.350
79.428	3.522
79.685	3.742
79.629	4.021
79.789	4.331
78.812	4.670
80.040	4.969
80.040	5.333
80.795	5.528
78.919	5.752
78.092	6.161
74.876	6.450
71.052	6.787
63.713	7.223
56.678	7.537
53.891	7.832
50.345	8.085
47.914	8.265
44.453	8.517
42.488	8.856
39.778	9.116
37.501	9.335
34.292	9.683
31.248	10.046
27.781	10.329
