x	y
33.181	0.067
44.823	0.196
55.421	0.345
66.705	0.511
74.253	0.664
80.717	0.879
85.318	1.060
88.537	1.385
90.658	1.550
90.912	1.900
90.912	2.312
90.847	2.620
89.954	2.914
88.616	3.296
86.613	3.621
84.260	3.869
83.343	4.323
80.977	4.586
78.319	4.875
75.918	5.127
73.892	5.343
71.128	5.594
66.730	6.140
64.632	6.370
63.075	6.618
59.429	6.880
57.499	7.115
55.202	7.349
51.784	7.665
49.004	7.945
47.005	8.192
45.788	8.452
42.263	8.724
41.587	8.941
37.702	9.259
36.367	9.429
32.846	9.713
30.440	9.942
28.930	10.102
25.942	10.287
