,exp,number,isCV,isConservative,U3,B,FP_rs,FP_tke
0,IslamImran2010,SecT7,False,False,0.000245069386729219,0.01,3.7386146405407118e-06,4.737806307890382e-06
1,IslamImran2010,SecS3,True,True,0.000821904474561195,0.0044809924605045,8.872133936446624e-06,8.050479822033611e-06
2,IslamImran2010,SecT6,False,False,0.00026838798454382893,0.01,3.5080486751619965e-06,4.606009942870274e-06
3,IslamImran2010,SecS2,False,True,0.0008501191266714222,0.01,1.398694818660263e-05,1.9038552959334886e-05
4,IslamImran2010,SecS10,False,True,0.00040885762226846624,0.01,7.271155237873155e-06,3.8519226462115165e-06
5,IslamImran2010,SecS9,False,True,0.000381126238087,0.01,1.1446157116694706e-05,6.9970751853220855e-06
6,IslamImran2010,SecS5,True,True,0.0006775626019094026,0.004211730862777,9.656333994099413e-06,2.8334877366601627e-06
7,IslamImran2010,SecS4,False,True,0.0007256193414074072,0.01,1.3122683778947015e-05,1.1868335308652655e-05
8,IslamImran2010,SecT2,False,False,0.00025586040792836774,0.01,5.874597768602781e-06,1.1389697997719769e-05
9,IslamImran2010,SecT12,False,False,0.00011731652742756034,0.01,2.2623403035488982e-06,7.965715496907144e-07
10,IslamImran2010,SecT8,True,False,0.00016896190519757065,0.0026227935657889,2.668942542396738e-06,2.248202348290621e-06
11,IslamImran2010,SecS6,False,True,0.0007732192136154479,0.01,1.0177250004087332e-05,1.5326483295788953e-05
12,IslamImran2010,SecS1,False,True,0.000827607762467346,0.01,9.977359157172908e-06,6.882950882265218e-06
13,IslamImran2010,SecT9,False,False,0.0002701773779510721,0.01,3.879794756206581e-06,3.2143894849237975e-06
14,IslamImran2010,SecT10,False,False,0.00020801482740222143,0.01,3.2870300110337947e-06,1.1829560047274971e-06
15,IslamImran2010,SecS11,True,True,0.00039116477196150725,0.0022460399226112,1.0473674085302789e-05,3.7255789236775356e-06
16,IslamImran2010,SecT4,False,False,0.0003045437375310677,0.01,4.4863066046243196e-06,8.074829660793535e-06
17,IslamImran2010,SecT5,True,False,0.0002604422141492779,0.0029795386758432,5.918864184193115e-06,5.282435920438436e-06
18,IslamImran2010,SecT3,True,False,0.00041599131657289685,0.0036457167542102,8.728741346931606e-06,9.795412055852494e-06
19,IslamImran2010,SecT11,True,False,0.00014739745605362137,0.0025190807795703,3.3326972072956115e-06,1.3960534002463356e-06
20,IslamImran2010,SecS7,False,True,0.0006723951053777007,0.01,1.4068051891776354e-05,9.941629123351332e-06
21,IslamImran2010,SecS8,True,True,0.00037508499162506844,0.0022708328640178,8.77691876617597e-06,6.134613046592234e-06
22,IslamImran2010,SecS12,False,True,0.0003759321206127219,0.01,6.909912087682377e-06,4.257632929403723e-06
23,IslamImran2010,SecT1,False,False,0.0004626859041188059,0.01,1.0411711319071059e-05,1.2247227748479904e-05
