y	x
0.06	16.32
0.49	17.61
0.92	19.330000000000002
1.36	20.619999999999997
1.79	21.48
2.22	22.330000000000002
2.65	22.759999999999998
3.09	23.619999999999997
3.52	24.05
3.95	24.91
4.38	25.34
4.82	25.77
5.25	26.2
5.68	26.630000000000003
6.12	27.060000000000002
6.55	27.060000000000002
7.0	27.060000000000002
7.41	27.49
7.85	27.49
8.28	27.49
8.7	27.49
9.14	27.49
9.58	27.49
10.01	27.49
10.4	27.49
10.87	27.49
11.31	27.49
11.74	27.060000000000002
12.17	27.060000000000002
12.6	27.060000000000002
13.04	27.060000000000002
13.47	26.630000000000003
13.9	26.630000000000003
14.33	26.630000000000003
14.77	26.2
15.2	25.77
15.63	25.77
16.06	25.77
16.5	25.34
16.93	25.34
17.36	24.91
17.79	24.91
18.23	24.48
18.66	24.05
19.09	23.619999999999997
19.53	23.19
19.96	22.759999999999998
20.4	22.759999999999998
20.82	21.91
21.26	21.48
21.69	21.48
22.1	20.619999999999997
22.55	20.19
22.99	19.759999999999998
23.42	19.330000000000002
23.9	18.47
24.28	18.47
24.72	17.61
25.15	17.61
25.58	16.75
26.01	16.32
26.45	15.89
26.88	15.459999999999999
27.31	14.6
27.74	14.169999999999998
28.18	13.74
28.61	13.309999999999999
29.04	12.03
29.47	12.03
29.91	11.17
30.34	10.74
30.77	9.879999999999999
31.2	9.45
31.64	9.02
32.07	7.7299999999999995
32.5	7.3
32.94	6.87
33.37	6.01
33.8	5.58
34.23	4.720000000000001
