y	x
1.36	8.58
1.79	9.86
2.22	12.01
2.65	12.01
3.09	12.87
3.95	13.3
4.38	13.719999999999999
5.68	14.15
6.12	14.580000000000002
7.0	15.01
7.41	15.440000000000001
8.28	15.440000000000001
8.7	15.440000000000001
9.14	15.87
10.01	15.87
10.4	16.3
10.87	16.3
12.17	16.3
12.6	16.73
13.04	16.73
13.47	17.16
13.9	17.16
14.33	17.580000000000002
14.77	17.580000000000002
15.2	17.580000000000002
15.63	17.580000000000002
16.06	18.009999999999998
16.5	18.009999999999998
16.93	18.009999999999998
17.36	18.44
17.79	18.44
18.23	18.44
18.66	18.44
19.09	18.44
19.53	18.44
19.96	18.44
20.4	18.44
20.82	18.44
21.26	18.44
21.69	18.44
22.1	18.44
22.55	18.44
22.99	18.44
23.42	18.44
23.9	18.009999999999998
24.28	18.009999999999998
24.72	18.009999999999998
25.15	18.009999999999998
25.58	17.580000000000002
26.01	17.580000000000002
26.45	17.580000000000002
26.88	17.580000000000002
27.31	17.580000000000002
27.74	17.16
28.18	17.16
28.61	17.16
29.04	17.16
29.47	17.16
29.91	17.16
30.34	16.73
30.77	16.73
31.2	16.73
31.64	16.3
32.07	16.3
32.5	16.3
32.94	16.3
33.37	16.3
33.8	15.87
34.23	15.440000000000001
34.67	15.440000000000001
35.1	15.01
35.5	14.580000000000002
35.96	14.580000000000002
36.4	14.15
36.83	14.15
37.3	13.719999999999999
37.69	13.3
38.13	12.440000000000001
38.56	11.58
38.99	9.86
