y	x
0.92	63.470000000000006
1.36	66.9
1.79	68.62
2.22	71.19
2.65	72.05
3.09	72.91
3.52	72.05
3.95	71.19
4.38	70.34
4.82	68.62
5.25	66.9
5.68	64.33
6.12	62.620000000000005
6.55	60.04
7.0	57.470000000000006
7.41	54.9
7.85	52.32000000000001
8.28	49.75
8.7	46.32
9.14	42.89
9.58	40.31
10.01	36.88
10.4	32.589999999999996
10.87	30.02
11.31	26.589999999999996
11.74	23.16
12.17	19.73
12.6	17.16
13.04	14.580000000000002
13.47	12.01
13.9	10.290000000000001
14.33	8.58
14.77	7.720000000000001
15.2	6.0
15.63	5.15
16.06	4.29
