y	x
0.92	66.9
1.36	69.47999999999999
1.79	70.34
2.22	72.05
2.65	72.91
3.09	72.91
3.52	72.05
3.95	71.19
4.38	70.34
4.82	67.76
5.25	65.19
5.68	62.620000000000005
6.12	58.33
6.55	54.9
7.0	50.61
7.41	46.32
7.85	42.89
8.28	37.739999999999995
8.7	34.31
9.14	30.880000000000003
9.58	26.589999999999996
10.01	23.16
10.4	19.73
10.87	18.009999999999998
11.31	14.580000000000002
11.74	12.87
12.17	10.290000000000001
12.6	9.440000000000001
13.04	7.720000000000001
13.47	6.0
13.9	5.15
14.33	3.4299999999999997
14.77	3.4299999999999997
15.2	2.57
