y	x
0.49	0.86
0.92	3.87
1.36	6.87
1.79	9.45
2.22	10.74
2.65	14.169999999999998
3.09	16.75
3.52	18.47
3.95	20.619999999999997
4.38	25.34
4.82	26.2
5.25	26.630000000000003
5.68	29.21
6.12	30.07
6.55	30.919999999999998
7.0	31.35
7.41	31.78
7.85	32.21
8.28	32.21
8.7	32.21
9.14	31.78
9.58	31.35
10.01	31.78
10.4	31.35
10.87	31.35
11.31	30.919999999999998
11.74	30.919999999999998
12.17	30.5
12.6	30.07
13.04	30.07
13.47	29.21
13.9	28.78
14.33	27.919999999999998
14.77	27.49
15.2	27.060000000000002
15.63	26.2
16.06	25.77
16.5	24.91
16.93	24.05
17.36	23.619999999999997
17.79	22.759999999999998
18.23	21.91
18.66	21.48
19.09	20.619999999999997
19.53	20.619999999999997
19.96	19.759999999999998
20.4	19.759999999999998
20.82	18.47
21.26	17.61
21.69	17.18
22.1	16.32
22.55	15.89
22.99	15.030000000000001
23.42	14.169999999999998
23.9	12.89
24.28	11.6
24.72	10.74
25.15	9.45
25.58	8.59
26.01	7.7299999999999995
26.45	7.3
26.88	6.44
27.31	6.01
27.74	5.58
28.18	5.15
28.61	4.720000000000001
29.04	3.87
29.47	3.87
29.91	3.44
30.34	3.0100000000000002
30.77	3.0100000000000002
31.2	2.58
31.64	2.58
