y	x
0.06	35.17
0.49	34.31
0.92	36.03
1.36	41.17
1.79	44.6
2.22	47.18
2.65	51.470000000000006
3.09	51.470000000000006
3.52	54.04
3.95	51.470000000000006
4.38	54.04
4.82	54.9
5.25	54.04
5.68	53.17999999999999
6.12	52.32000000000001
6.55	51.470000000000006
7.0	49.75
7.41	48.03
7.85	46.32
8.28	44.6
8.7	42.89
9.14	41.17
9.58	39.46
10.01	36.88
10.4	35.17
10.87	32.589999999999996
11.31	30.880000000000003
11.74	29.160000000000004
12.17	26.589999999999996
12.6	24.869999999999997
13.04	22.3
13.47	20.59
13.9	18.869999999999997
14.33	17.16
14.77	15.440000000000001
15.2	13.719999999999999
15.63	12.01
16.06	11.15
16.5	9.440000000000001
16.93	8.58
17.36	7.720000000000001
17.79	6.0
18.23	5.15
18.66	4.29
19.09	3.4299999999999997
19.53	2.57
