y	x
0.06	8.58
0.49	31.74
0.92	30.880000000000003
1.36	27.45
1.79	38.6
2.22	42.89
2.65	45.46
3.09	42.89
3.52	49.75
3.95	52.32000000000001
4.38	54.04
4.82	54.04
5.25	54.04
5.68	54.04
6.12	54.04
6.55	54.04
7.0	53.17999999999999
7.41	52.32000000000001
7.85	51.470000000000006
8.28	50.61
8.7	48.89
9.14	47.18
9.58	46.32
10.01	44.6
10.4	42.03
10.87	40.31
11.31	37.739999999999995
11.74	35.17
12.17	32.589999999999996
12.6	30.880000000000003
13.04	28.310000000000002
13.47	24.869999999999997
13.9	22.3
14.33	19.73
14.77	18.009999999999998
15.2	16.3
15.63	13.719999999999999
16.06	12.01
16.5	11.15
16.93	9.440000000000001
17.36	9.440000000000001
17.79	7.720000000000001
18.23	6.859999999999999
19.53	5.15
19.96	4.29
20.4	3.4299999999999997
21.69	3.4299999999999997
22.99	1.72
