y	x
0.06	54.04
0.49	55.75
0.92	59.17999999999999
1.36	62.620000000000005
1.79	64.33
2.22	66.05
2.65	66.9
3.09	66.9
3.52	66.9
3.95	66.9
4.38	66.05
4.82	64.33
5.25	63.470000000000006
5.68	62.620000000000005
6.12	60.04
6.55	58.33
7.0	56.61
7.41	54.9
7.85	52.32000000000001
8.28	50.61
8.7	48.03
9.14	45.46
9.58	42.89
10.01	40.31
10.4	37.739999999999995
10.87	35.17
11.31	32.589999999999996
11.74	29.160000000000004
12.17	26.589999999999996
12.6	24.02
13.04	20.59
13.47	18.009999999999998
13.9	15.440000000000001
14.33	13.719999999999999
14.77	12.01
15.2	10.290000000000001
15.63	9.440000000000001
16.06	7.720000000000001
16.5	6.859999999999999
17.79	4.29
19.53	2.57
