y	x
0.06	7.3
0.49	7.7299999999999995
1.79	9.45
2.22	9.879999999999999
2.65	10.309999999999999
3.09	11.17
3.52	11.17
3.95	11.17
4.38	11.6
4.82	12.03
5.25	12.03
5.68	12.03
6.12	12.459999999999999
6.55	12.89
7.0	12.89
7.41	13.309999999999999
7.85	13.309999999999999
8.28	13.74
8.7	14.169999999999998
9.14	14.169999999999998
9.58	14.169999999999998
10.01	14.169999999999998
10.4	14.6
10.87	14.169999999999998
11.31	14.6
11.74	15.030000000000001
12.17	15.030000000000001
12.6	15.459999999999999
13.04	15.459999999999999
13.47	15.459999999999999
13.9	15.459999999999999
14.33	15.89
14.77	15.89
15.2	16.32
15.63	16.32
16.06	16.32
16.5	16.32
16.93	16.32
17.36	16.32
17.79	16.32
18.23	16.32
18.66	16.32
19.09	16.75
19.53	16.75
19.96	17.18
20.4	17.18
20.82	17.18
21.26	17.18
21.69	17.61
22.1	17.18
22.55	17.61
22.99	17.61
23.42	17.18
23.9	17.61
24.28	17.61
24.72	17.61
25.15	17.61
25.58	17.61
26.01	17.61
26.45	17.61
26.88	17.61
27.31	17.61
27.74	17.61
28.18	17.61
28.61	17.61
29.04	17.61
29.47	17.61
29.91	17.61
30.34	17.61
30.77	17.18
31.2	17.18
31.64	16.75
32.07	16.75
32.5	16.32
32.94	16.32
33.37	16.32
33.8	15.89
34.23	15.89
34.67	15.459999999999999
35.1	15.459999999999999
35.5	15.030000000000001
35.96	14.6
36.4	14.169999999999998
36.83	14.169999999999998
37.3	13.74
37.69	13.309999999999999
38.13	12.03
38.56	11.17
38.99	9.02
