x	y
59.3440819	0.9886346
60.4020119	1.2169442
61.6904411	1.6137371
62.1766548	1.9133620
62.2377205	2.2222281
61.4450417	2.7308035
60.2325630	3.1344657
57.4415779	3.7598186
54.9059258	4.3108592
51.5566063	4.8259268
48.4450531	5.1903720
44.8900261	5.6237607
40.5331650	6.0847497
36.3476601	6.5337501
31.9400368	7.1190104
28.7975655	7.6308322
25.4814491	8.1489010
22.0699196	8.6561012
19.1289597	9.0705013
17.1860008	9.3560162
14.5583754	9.7305775
9.9469538	10.4071388
6.6426668	10.9980202
4.7390203	11.3633385
2.1419230	12.2836933
