Exp,run,densitytype,Bed_height,Particle_type,Init_Conc,Conservative,slope(tan),Temp,d50 (micron),Rhos(kgm),Rhoa(kgm),mu,Injection,Cprofile_available,submarine,flume_wide,n,Depositional,DepoThick(dm3),Bed Condition,Confined,IsNumerical
Altinakar1988,TK0602-400,FD,0,Quartz flour,1004.5,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0602-800,FD,0,Quartz flour,1004.5,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0603-200,FD,0,Quartz flour,1004,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0603-400,FD,0,Quartz flour,1004,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0603-800,FD,0,Quartz flour,1004,Non-Conservative,0.0272,,32,2650,1000,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0605-200,FD,0,Quartz flour,1004,Non-Conservative,0.0294,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0605-400,FD,0,Quartz flour,1004,Non-Conservative,0.0294,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0605-800,FD,0,Quartz flour,1004,Non-Conservative,0.0294,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0606-200,FD,0,Quartz flour,1004.6,Non-Conservative,0.0294,,32,2650,1000.6,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0606-400,FD,0,Quartz flour,1004.6,Non-Conservative,0.0294,,32,2650,1000.6,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0607-200,FD,0,Quartz flour,1003.2,Non-Conservative,0.0269,,32,2650,999.6,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0607-400,FD,0,Quartz flour,1003.2,Non-Conservative,0.0269,,32,2650,999.6,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0608-400,FD,0,Quartz flour,1003.5,Non-Conservative,0.02,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0608-800,FD,0,Quartz flour,1003.5,Non-Conservative,0.02,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0609-200,FD,0,Quartz flour,1003.2,Non-Conservative,0.02,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0609-400,FD,0,Quartz flour,1003.2,Non-Conservative,0.02,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0609-800,FD,0,Quartz flour,1003.2,Non-Conservative,0.02,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0610-220,FD,0,Quartz flour,1005,Non-Conservative,0.01,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0610-400,FD,0,Quartz flour,1005,Non-Conservative,0.01,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0610-800,FD,0,Quartz flour,1005,Non-Conservative,0.01,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0611-200,FD,0,Quartz flour,1004.8,Non-Conservative,0.01,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0611-400,FD,0,Quartz flour,1004.8,Non-Conservative,0.01,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0611-800,FD,0,Quartz flour,1004.8,Non-Conservative,0.01,,32,2650,1001,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0612-220,FD,0,Quartz flour,1004.5,Non-Conservative,0.01,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0612-400,FD,0,Quartz flour,1004.5,Non-Conservative,0.01,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK0612-800,FD,0,Quartz flour,1004.5,Non-Conservative,0.01,,32,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1301-200,FD,0,Quartz flour,1004.1,Non-Conservative,0.0294,,14,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1301-400,FD,0,Quartz flour,1004.1,Non-Conservative,0.0294,,14,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1302-200,FD,0,Quartz flour,1004,Non-Conservative,0.0294,,14,2650,1000.7,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1302-400,FD,0,Quartz flour,1004,Non-Conservative,0.0294,,14,2650,1000.7,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1303-220,FD,0,Quartz flour,1004,Non-Conservative,0.02,,14,2650,1000.6,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1303-800,FD,0,Quartz flour,1004,Non-Conservative,0.02,,14,2650,1000.6,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1305-220,FD,0,Quartz flour,1006.6,Non-Conservative,0.02,,14,2650,1000.2,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1305-400,FD,0,Quartz flour,1006.6,Non-Conservative,0.02,,14,2650,1000.2,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1305-800,FD,0,Quartz flour,1006.6,Non-Conservative,0.02,,14,2650,1000.2,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1306-200,FD,0,Quartz flour,1004.6,Non-Conservative,0.01,,14,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1306-400,FD,0,Quartz flour,1004.6,Non-Conservative,0.01,,14,2650,1000.8,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1307-220,FD,0,Quartz flour,1008.7,Non-Conservative,0.01,,14,2650,1000.9,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1307-400,FD,0,Quartz flour,1008.7,Non-Conservative,0.01,,14,2650,1000.9,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1308-220,FD,0,Quartz flour,1005,Non-Conservative,0.01,,14,2650,1000.9,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1308-400,FD,0,Quartz flour,1005,Non-Conservative,0.01,,14,2650,1000.9,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1309-220,FD,0,Quartz flour,1005.8,Non-Conservative,0.01,,14,2650,1001.1,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1309-400,FD,0,Quartz flour,1005.8,Non-Conservative,0.01,,14,2650,1001.1,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Altinakar1988,TK1309-800,FD,0,Quartz flour,1005.8,Non-Conservative,0.01,,14,2650,1001.1,Cohesionless,Injection,TRUE,subaqueous,50,0.008,Depositional,,E,Fully,FALSE
Amy2005,1,FD,0,Glycerol,,Conservative,0.052,11.2,,,1000,Glycerol,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Amy2005,2,FD,0,Glycerol,,Conservative,0.052,10.4,,,1000,Glycerol,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Amy2005,3,FD,0,Glycerol,,Conservative,0.052,11.2,,,1000,Glycerol,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Amy2005,4,FD,0,Glycerol,,Conservative,0.052,10.1,,,1000,Glycerol,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Amy2005,5,FD,0,Glycerol,,Conservative,0.052,10.9,,,1000,Glycerol,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Amy2005,6,FD,0,Glycerol,,Conservative,0.052,11.6,,,1000,Glycerol,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Amy2005,7,FD,0,Glycerol,,Conservative,0.052,10.5,,,1000,Glycerol,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Amy2005,8,FD,0,Glycerol,,Conservative,0.052,10.7,,,1000,Glycerol,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Amy2005,9,FD,0,Glycerol,,Conservative,0.052,11.1,,,1000,Glycerol,Injection,TRUE,subaqueous,50,0.008,,,NE,Fully,FALSE
Cartigny2013,C09S09A,VC,0,Quartz sand,0.09,Non-Conservative,0.158,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Depositional,,E,Fully,FALSE
Cartigny2013,C09S11A,VC,0,Quartz sand,0.09,Non-Conservative,0.194,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Depositional,,E,Fully,FALSE
Cartigny2013,C13S11A,VC,0,Quartz sand,0.13,Non-Conservative,0.194,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Depositional,,E,Fully,FALSE
Cartigny2013,C13S12N,VC,0,Quartz sand,0.13,Non-Conservative,0.213,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Non-Depositional,,E,Fully,FALSE
Cartigny2013,C15S10A,VC,0,Quartz sand,0.15,Non-Conservative,0.176,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Depositional,,E,Fully,FALSE
Cartigny2013,C15S11N,VC,0,Quartz sand,0.15,Non-Conservative,0.194,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Non-Depositional,,E,Fully,FALSE
Cartigny2013,C17S07A,VC,0,Quartz sand,0.17,Non-Conservative,0.123,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Depositional,,E,Fully,FALSE
Cartigny2013,C17S09N,VC,0,Quartz sand,0.17,Non-Conservative,0.158,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Non-Depositional,,E,Fully,FALSE
Cartigny2013,C21S08A,VC,0,Quartz sand,0.21,Non-Conservative,0.141,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Depositional,,E,Fully,FALSE
Cartigny2013,C21S09N,VC,0,Quartz sand,0.21,Non-Conservative,0.158,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Non-Depositional,,E,Fully,FALSE
Cartigny2013,C26S07A,VC,0,Quartz sand,0.26,Non-Conservative,0.123,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Depositional,,E,Fully,FALSE
Cartigny2013,C26S09N,VC,0,Quartz sand,0.26,Non-Conservative,0.158,,160,2650,1000,Cohesionless,Injection,FALSE,subaqueous,7,,Non-Depositional,,E,Fully,FALSE
Eggenhuisen2019,1,VC,0,Sand,0.17,Non-Conservative,0.14,,130,2650,1000,Cohesionless,Injection,TRUE,subaqueous,21,,,,NE,Fully,FALSE
Eggenhuisen2019,2,VC,0,Sand,0.17,Non-Conservative,0.07,,130,2650,1000,Cohesionless,Injection,TRUE,subaqueous,21,,,,NE,Fully,FALSE
Fedele2016,f165d458,FED,0,Salt,,Conservative,0.0874,,,,1000,Saline,Injection,TRUE,subaqueous,15,,,,E,Fully,FALSE
Fedele2016,f149d230,FED,0,Salt,,Conservative,0.1763,,,,1000,Saline,Injection,TRUE,subaqueous,15,,,,E,Fully,FALSE
Fedele2016,f216d300,FED,0,Salt,,Conservative,0.1405,,,,1000,Saline,Injection,TRUE,subaqueous,15,,,,E,Fully,FALSE
Fedele2016,f130d300,FED,0,Salt,,Conservative,0.1405,,,,1000,Saline,Injection,TRUE,subaqueous,15,,,,E,Fully,FALSE
Fedele2016,f175d300,FED,0,Salt,,Conservative,0.1405,,,,1000,Saline,Injection,TRUE,subaqueous,15,,,,E,Fully,FALSE
Hermidas2018,1,VC,0,sand&Clay,0.15,Non-Conservative,0.105,,150,2650,1000,Cohesionless,Injection,FALSE,subaqueous,22,,Depositional,,E,Fully,FALSE
