x	y
38.028	0.069
55.814	0.152
72.513	0.242
79.084	0.373
84.646	0.551
95.416	0.914
99.592	1.199
101.788	1.327
101.342	1.448
103.972	1.657
99.156	2.018
96.308	2.456
92.889	2.656
93.588	2.822
88.529	3.037
88.323	3.177
84.448	3.472
79.779	3.735
78.192	3.869
71.548	4.083
70.603	4.243
66.887	4.407
66.759	4.576
63.615	4.760
60.288	4.881
54.726	5.058
54.728	5.168
52.037	5.298
51.472	5.409
44.575	5.711
44.196	5.820
38.230	6.108
38.230	6.171
35.228	6.311
34.881	6.424
30.948	6.506
31.426	6.612
29.281	6.855
26.661	7.103
24.061	7.185
24.061	7.331
21.949	7.590
21.397	7.800
17.925	8.068
17.856	8.172
15.816	8.316
14.907	8.581
12.744	8.800
11.248	9.022
8.721	9.244
6.123	9.471
