Dataset x,Dataset y
5.940249906796E0,4.300790259394E-1
7.653112065725E0,8.856587744633E-1
8.101416862830E0,1.381626110250E0
8.182931463828E0,1.889502272051E0
8.241345172907E0,2.428862303619E0
7.790725131438E0,2.900166293469E0
7.085656058724E0,3.400834027175E0
6.022472278258E0,4.341957918736E0
4.623901539796E0,5.343399392445E0
2.993982662008E0,6.342720740243E0
1.954035461518E0,7.379144291470E0
1.006593594744E0,8.384720010703E0
9.371826081031E-2,9.263830219390E0
