Dataset 12 x,Dataset 12 y
8.104873443448E0,5.926062380236E-1
5.891702591601E0,1.092144703567E0
4.221560567137E0,1.629867386433E0
3.005368216395E0,2.107180114573E0
2.283556358263E0,2.642560084578E0
1.748232453181E0,3.098427979600E0
6.775045502692E-1,4.108978196752E0
1.984698280609E-1,5.118066721263E0
