Dataset 11 x,Dataset 11 y
3.947082721792E0,2.669090807155E-1
2.876739264068E0,8.031500477553E-1
2.073889564115E0,1.318967364208E0
1.562881817144E0,1.774775189670E0
1.359862721031E0,2.249585019453E0
1.221750787412E0,2.645183122055E0
8.318272559624E-1,3.713340047775E0
5.311110265688E-1,4.721988062176E0
2.871324994343E-1,5.730495914269E0
1.485400093308E-1,6.718980579511E0
