Dataset 2 x,Dataset 2 y
4.157148506838E0,4.372959407727E-1
5.542056370531E0,9.854956018739E-1
5.941571985242E0,1.457726401690E0
6.048053762050E0,2.038835952601E0
6.007815638273E0,2.484723915449E0
5.910671016597E0,3.019341717263E0
5.650735125017E0,3.619406170696E0
5.448135574795E0,4.532375766927E0
4.740756522853E0,5.529970794098E0
4.106689660819E0,6.550550506216E0
3.415549139541E0,7.503668675503E0
1.976361599086E0,9.498634853044E0
1.172315529311E0,1.147710877288E1
7.673074704039E-1,1.348155240168E1
5.414247328333E-1,1.546532473915E1
2.503251904941E-1,1.738156090819E1
