	x	y
0	4.157148506838	0.4372959407727
1	5.542056370531	0.9854956018739
2	5.941571985242	1.45772640169
3	6.04805376205	2.038835952601
4	6.007815638273	2.484723915449
5	5.910671016597	3.019341717263
6	5.650735125017	3.619406170696
7	5.448135574795	4.532375766927
8	4.740756522853	5.529970794098
9	4.106689660819	6.550550506216
10	3.415549139541	7.503668675503
11	1.976361599086	9.498634853044
12	1.172315529311	11.47710877288
13	0.7673074704039	13.48155240168
14	0.5414247328333	15.46532473915
15	0.2503251904941	17.38156090819
