Dataset x,Dataset y
8.765957446809E-1,9.200926209096E-2
9.872340425532E-1,1.909126654725E-1
1.042553191489E0,2.804054349251E-1
1.085106382979E0,3.482983092315E-1
1.123404255319E0,5.609419371751E-1
1.136170212766E0,6.564638035738E-1
1.153191489362E0,7.519987767050E-1
1.182978723404E0,8.537332343047E-1
