u3ghw,B
1.384460427742E+03,1.575085480727E+01
1.384880810629E+03,1.340982741482E+01
1.394378168777E+03,2.477147547822E+01
1.410291879369E+03,3.887981083247E+02
1.43321564903E+03,3.231157642042E+01
1.438670074504E+03,3.588104483218E+01
1.457903964872E+03,1.809148018746E+01
1.492555509116E+03,1.947413736303E+02
1.494525289332E+03,2.927552722685E+02
1.505138000327E+03,1.5733722572E+02
1.561149213751E+03,1.162044732905E+02
1.574513629478E+03,3.299519059412E+02
1.583342574361E+03,2.39703039549E+02
1.622197965083E+03,1.601282766771E+01
1.656564669191E+03,6.084225379312E+00
1.68429672704E+03,2.333128283974E+01
1.689814698043E+03,1.708730020867E+02
1.690208459602E+03,1.8164050141E+01
1.706654678138E+03,5.466966083723E+02
1.7166430317E+03,1.933371325824E+02
1.742235891813E+03,4.360330875037E+01
1.746763368839E+03,6.252134674446E+01
1.772923154874E+03,1.994701622611E+01
1.800511529756E+03,2.66088278073E+01
1.860263523059E+03,1.54478595156E+02
1.921650609945E+03,7.217139000101E+01
1.933322005275E+03,3.986537964249E+01
1.95527434796E+03,1.865839403561E+02
1.96380839128E+03,4.771058593825E+01
1.989444836573E+03,2.836153607754E+01
2.087687641977E+03,2.488208158623E+01
2.246635607498E+03,1.363551148648E+01
2.54978222902E+03,1.920297694394E+02
2.552769527308E+03,3.688337249979E+02
2.559467929538E+03,2.140428044537E+02
2.983680656872E+03,8.042671123945E+01
