Paper,run,submarine,Particle_type,Conserv,u3ghw,u2ghs,Uave[m/s],height,Fr,B,S1,S2,S3,slope,mu[kg/ms],ws[m/s],Cprofile
vanMaren,,subaerial,,Non-Conservative,101.556,,,,,0.00074654716981,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,98.262,,,,,0.00092213207547,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,82.975,,,,,0.00096945283019,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,86.325,,,,,0.00123220754717,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,112.465,,,,,0.00115375471698,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,146.194,,,,,0.00115935849057,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,79.592,,,,,0.00146383018868,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,66.074,,,,,0.0015771509434,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,78.834,,,,,0.00168735849057,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,15.615,,,,,0.00114441509434,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,13.057,,,,,0.00110083018868,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,10.489,,,,,0.00120605660377,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,158.679,,,,,0.00080818867925,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,185.629,,,,,0.00070420754717,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,363.02,,,,,0.00065564150943,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,156.44,,,,,0.00148437735849,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,139.012,,,,,0.00166058490566,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,191.981,,,,,0.00159333962264,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,194.664,,,,,0.00178386792453,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,231.308,,,,,0.00183430188679,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,208.285,,,,,0.00220166037736,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,242.675,,,,,0.00232556603774,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,240.165,,,,,0.00281932075472,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,224.852,,,,,0.0031549245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,245.293,,,,,0.00357147169811,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,293.344,,,,,0.00302043396226,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,231.508,,,,,0.00411566037736,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,187.453,,,,,0.00375639622642,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,168.394,,,,,0.00330124528302,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,159.468,,,,,0.00368603773585,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,140.917,,,,,0.00302416981132,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,117.966,,,,,0.00289839622642,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,113.894,,,,,0.00352850943396,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,92.114,,,,,0.003234,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,76.761,,,,,0.00329003773585,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,71.619,,,,,0.00285730188679,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,90.542,,,,,0.00258271698113,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,85.883,,,,,0.00237413207547,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,55.098,,,,,0.00321905660377,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,132.238,,,,,0.00241086792453,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,134.23,,,,,0.0020858490566,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,146.504,,,,,0.00217177358491,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,40.126,,,,,0.00262630188679,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,79.619,,,,,0.00449671698113,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,98.246,,,,,0.00484664150943,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,43.627,,,,,0.00438837735849,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,42.724,,,,,0.00621147169811,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,57.391,,,,,0.01422486792453,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,40.639,,,,,0.01325354716981,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,79.928,,,,,0.01515758490566,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,88.011,,,,,0.0084679245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,178.124,,,,,0.00903577358491,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,181.102,,,,,0.01009737735849,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,178.666,,,,,0.01219879245283,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,191.266,,,,,0.01489358490566,,,,,,,FALSE
vanMaren,,subaerial,,Non-Conservative,312.733,,,,,0.01082337735849,,,,,,,FALSE
