,velocity,vel_ori,density,den_ori,eta
0,0.0,0.0,1.685416735573443,-1.0,0.0
1,0.06629705584809596,-1.0,1.6852849505097973,-1.0,0.002004008016032064
2,0.13150851151074602,-1.0,1.6851531654461451,-1.0,0.004008016032064128
3,0.19556405999224938,-1.0,1.6850213803824992,-1.0,0.0060120240480961915
4,0.25839339429690494,-1.0,1.6848895953188534,-1.0,0.008016032064128256
5,0.31992620742901196,-1.0,1.6847578102552012,-1.0,0.01002004008016032
6,0.38009219239286945,-1.0,1.6846260251915555,-1.0,0.012024048096192383
7,0.4388210421927766,-1.0,1.6844942401279095,-1.0,0.014028056112224447
8,0.4960424498330323,-1.0,1.6843624550642635,-1.0,0.01603206412825651
9,0.5516861083179359,-1.0,1.6842306700006116,-1.0,0.018036072144288574
10,0.6056817106517862,-1.0,1.6840988849369656,-1.0,0.02004008016032064
11,0.6579589498388825,-1.0,1.6839670998733198,-1.0,0.022044088176352703
12,0.7084475188835238,-1.0,1.6838353148096676,-1.0,0.024048096192384766
13,0.7570771107900092,-1.0,1.6837035297460217,-1.0,0.026052104208416832
14,0.8037774185626378,-1.0,1.683571744682376,-1.0,0.028056112224448895
15,0.8484781352057085,-1.0,1.6834399596187237,-1.0,0.03006012024048096
16,0.891108953723521,-1.0,1.683308174555078,-1.0,0.03206412825651302
17,0.9315995671203737,-1.0,1.683176389491432,-1.0,0.03406813627254509
18,0.9711432464577312,-1.0,1.683044604427786,-1.0,0.03607214428857715
19,1.011033792501557,-1.0,1.682912819364134,-1.0,0.038076152304609215
20,1.0509852490337581,-1.0,1.6827810343004819,-1.0,0.04008016032064128
21,1.0907088092728952,-1.0,1.6826492492368423,-1.0,0.04208416833667334
22,1.1299156664375283,-1.0,1.6825174641731901,-1.0,0.044088176352705406
23,1.1683170137462178,-1.0,1.6823856791095442,-1.0,0.04609218436873747
24,1.2056240444175248,-1.0,1.6822538940458984,-1.0,0.04809619238476953
25,1.2415479516700088,-1.0,1.6821221089822462,-1.0,0.0501002004008016
26,1.2757999287222308,-1.0,1.6819903239186005,-1.0,0.052104208416833664
27,1.3080911687927512,-1.0,1.6818585388549483,-1.0,0.05410821643286573
28,1.3381328651001303,-1.0,1.6817267537913023,-1.0,0.05611222444889779
29,1.3656362108629287,-1.0,1.681594764869339,-1.0,0.058116232464929855
30,1.3903123992997066,-1.0,1.6814627612656792,-1.0,0.06012024048096192
31,1.4118726236290244,-1.0,1.6813314992512147,1.6812393630948004,0.06212424849699398
32,1.430028077069443,-1.0,1.6812004730868424,-1.0,0.06412825651302605
33,1.444489952839522,-1.0,1.6810705000867456,-1.0,0.06613226452905811
