,velocity,vel_ori,density,den_ori,eta
0,0.0,0.0,2.0542556943810304,-1.0,0.0
1,0.07576215370472467,-1.0,2.053677534626152,-1.0,0.002004008016032064
2,0.1502528533372726,-1.0,2.0530993748712647,-1.0,0.004008016032064128
3,0.22338251020170116,-1.0,2.052521215116382,-1.0,0.0060120240480961915
4,0.29506153560206766,-1.0,2.0519430553614995,-1.0,0.008016032064128256
5,0.3652003408424295,-1.0,2.051364895606617,-1.0,0.01002004008016032
6,0.4337093372268439,-1.0,2.050786735851734,-1.0,0.012024048096192383
7,0.5004989360593681,-1.0,2.0502085760968516,-1.0,0.014028056112224447
8,0.5654795486440598,-1.0,2.049630416341969,-1.0,0.01603206412825651
9,0.628561586284976,-1.0,2.0490522565870815,-1.0,0.018036072144288574
10,0.6896554602861742,-1.0,2.048474096832199,-1.0,0.02004008016032064
11,0.7486715819517117,-1.0,2.0478959370773158,-1.0,0.022044088176352703
12,0.8055203625856456,-1.0,2.047317777322433,-1.0,0.024048096192384766
13,0.8601122134920335,-1.0,2.0467396175675505,-1.0,0.026052104208416832
14,0.9123575459749328,-1.0,2.046161457812668,-1.0,0.028056112224448895
15,0.9621667713384006,-1.0,2.0455832980577804,-1.0,0.03006012024048096
16,1.0094503008864943,-1.0,2.0450051383028978,-1.0,0.03206412825651302
17,1.0541207943216244,-1.0,2.044426978548015,-1.0,0.03406813627254509
18,1.0977184542315197,-1.0,2.0438488187931325,-1.0,0.03607214428857715
19,1.1414271467504167,-1.0,2.04327065903825,-1.0,0.038076152304609215
20,1.184966774747701,-1.0,2.0426924992833624,-1.0,0.04008016032064128
21,1.2280572410927584,-1.0,2.042114339528484,-1.0,0.04208416833667334
22,1.2704184486549746,-1.0,2.0415361797736016,-1.0,0.044088176352705406
23,1.3117703003037346,-1.0,2.040958020018714,-1.0,0.04609218436873747
24,1.3518326989084248,-1.0,2.0403798602638363,-1.0,0.04809619238476953
25,1.3903255473384308,-1.0,2.039801700508949,-1.0,0.0501002004008016
26,1.426968748463138,-1.0,2.039223540754066,-1.0,0.052104208416833664
27,1.4614822051519323,-1.0,2.0386453809991836,-1.0,0.05410821643286573
28,1.493585820274199,-1.0,2.038067221244301,-1.0,0.05611222444889779
29,1.5229994966993243,-1.0,2.0374890614894183,-1.0,0.058116232464929855
30,1.5494431372966933,-1.0,2.036910901734531,-1.0,0.06012024048096192
31,1.5726366449356914,-1.0,2.0363327419796478,-1.0,0.06212424849699398
32,1.5922999224857057,-1.0,2.035754582224765,-1.0,0.06412825651302605
33,1.6081528728161198,-1.0,2.0351764224698825,-1.0,0.06613226452905811
34,1.6199261720460858,-1.0,2.034598262715,-1.0,0.06813627254509018
35,1.6295177667969634,-1.0,2.0340201029601173,-1.0,0.07014028056112225
36,1.6384969315660853,-1.0,2.0334419432052298,2.0330032027823766,0.0721442885771543
37,1.646891678556832,-1.0,2.032864136168311,-1.0,0.07414829659318636
38,1.6547300199725856,-1.0,2.0322948545284634,-1.0,0.07615230460921843
39,1.6620399680167273,1.6825234819876578,2.031737193678654,-1.0,0.0781563126252505
40,1.6688495348926382,-1.0,2.0311907138143797,-1.0,0.08016032064128256
41,1.6751867328037005,-1.0,2.030654975131105,-1.0,0.08216432865731463
42,1.6810795739532947,-1.0,2.030129537824321,-1.0,0.08416833667334668
43,1.6865560705448026,-1.0,2.029613962089499,-1.0,0.08617234468937875
44,1.6916442347816065,-1.0,2.029107808122129,-1.0,0.08817635270541081
45,1.6963720788670866,-1.0,2.0286106361176874,-1.0,0.09018036072144288
46,1.7007676150046254,-1.0,2.0281220062716496,-1.0,0.09218436873747494
47,1.7048588553976036,-1.0,2.0276414787795063,-1.0,0.09418837675350701
48,1.7086738122494025,1.7125179146304719,2.0271686138367335,-1.0,0.09619238476953906
49,1.7122404977634043,-1.0,2.026702971638807,-1.0,0.09819639278557113
50,1.7155869241429897,-1.0,2.0262441123812125,-1.0,0.1002004008016032
51,1.7187415478230417,-1.0,2.0257915962594306,-1.0,0.10220440881763526
52,1.7217668292868828,-1.0,2.025344983468942,-1.0,0.10420841683366733
53,1.7246902780948705,-1.0,2.024903834205223,-1.0,0.1062124248496994
54,1.7275086074500514,-1.0,2.024467708663759,-1.0,0.10821643286573146
55,1.7302185305554718,-1.0,2.0240361670400304,-1.0,0.11022044088176351
56,1.7328167606141793,-1.0,2.0236087695295133,-1.0,0.11222444889779558
57,1.7353000108292205,-1.0,2.0231850763276937,-1.0,0.11422845691382764
58,1.737664994403642,-1.0,2.0227646476300474,-1.0,0.11623246492985971
59,1.739908424540491,-1.0,2.0223470436320596,-1.0,0.11823647294589178
60,1.7420270144428143,-1.0,2.021931824529206,-1.0,0.12024048096192384
61,1.7440174773136585,-1.0,2.021518550516969,-1.0,0.1222444889779559
62,1.7458765263560707,-1.0,2.0211067817908366,-1.0,0.12424849699398796
63,1.7476008747730971,-1.0,2.020696078546277,-1.0,0.12625250501002003
64,1.749187235767786,1.7490474608711828,2.020286000978775,-1.0,0.1282565130260521
65,1.7506323225431826,-1.0,2.0198761092838162,-1.0,0.13026052104208416
66,1.7519328483023349,-1.0,2.019465963656872,-1.0,0.13226452905811623
67,1.7530855262482896,-1.0,2.0190551242934323,-1.0,0.1342685370741483
68,1.7540887740711903,-1.0,2.0186431513889733,-1.0,0.13627254509018036
69,1.7550311831622918,-1.0,2.0182296051389805,-1.0,0.13827655310621242
70,1.755960055060271,-1.0,2.0178140457389255,-1.0,0.1402805611222445
71,1.7568696077593202,-1.0,2.0173960333842933,-1.0,0.14228456913827653
