x	y
0.16908111153	1.4876229300000001
0.12386748905999999	2.13605256
0.11350563290999999	2.57074374
0.07746690474000001	3.7195633200000002
0.023719988969999998	4.70250423
-0.004446294929999999	5.69419281
-0.010810976849999999	6.5448735000000005
-0.01575772056	7.30343466
-0.02788397946	7.9014330600000005
-0.03236235444	8.581428719999998
-0.04428330101999999	9.56282439
-0.057558025709999995	10.53907242
-0.06818293827	12.558302939999997
-0.09554080490999999	14.545111860000002
-0.12256503902999998	18.528847230000004
-0.13290764715	22.46369187
-0.09380206619999999	26.45343045
-0.10003201190999998	30.47405013
-0.07246883295	33.15560559
