B,B_ET,B_hum,Ca,Conserv,Cprofile,Czero,D50,Fpghw,Fr,Frd,Frd_et,HR/h,Paper,Particle_type,Re,Rhofa,Rhofave[kg/m3],Rhofave_ET[kg/m3],Ri,RouseNum,S1,S2,S3,U/ws,Uave[m/s],Uave_ET[m/s],Uave_hum[m/s],a0_v,a1_v,a2_v,a3_v,a_sigm,a_sigm_simple,a_sigm_simple2,a_sigm_simple_rouse,b_sigm,b_sigm_simple,b_sigm_simple2,b_sigm_simple_rouse,cD,c_sigm_simple,c_sigm_simple_rouse,cb_sigm,cb_sigm_simple,cb_sigm_simple2,d_sigm_simple_rouse,f_sigm_rouse,g_sigm_rouse,h_et,height,hmax,mu[kg/ms],run,slope,submarine,u2ghs,u2ghs_ET,u2ghs_Ri,u2ghs_hum,u3ghw,u3ghw_ET,u3ghw_hum,u4ghw2,ustar,ws[m/s]
0.02901917353754675,0.036788968284631435,0.054818160926817655,1.9693094076170772,Non-Conservative,True,178.0,1.1e-06,237334399.6274474,,1.8947407090250983,2.429470662240645,0.684102331195144,Tesakar1969,Clay,115351.12733056502,1000.0,1029.0191735375467,1036.7889682846314,0.278548245750945,0.0002494942283286894,1.277376057031291,1.267746934178937,0.6384341691680291,402729.0806233856,0.4855154128665975,0.6201857637154538,0.62352908462486,24.4661930593192,-91.13825139515139,137.50567851863642,-71.03458333339599,1.2909425919689694,0.29275826106672787,0.29275826106672787,11.989267884592966,0.6579332082351617,1.808336846810167,1.808336846810167,1.1186398199802023,0.02228617467509128,5.844468101431684,2.9218922454629137,2.029761602220799,2.0541694434837945,5.844468101431684,0.3332656576691736,3.239366204799897,-1.2393757326915613,0.18074928309873553,0.23088480655589544,0.03932907526503229,0.001,14,0.1,subaqueous,1.0418006209054826,2.1714054651253436,0.03839270538201032,10.087269438162652,41956.34062501373,87448.81266305246,88870.71756419563,16897038486.233383,0.07248043420137337,1.2055633333333333e-06
0.014486363106721228,0.023814261350123843,0.034574481136312216,2.4841537906213764,Non-Conservative,True,95.5,1.7649999999999998e-06,29873117.006335005,,0.9782998488416074,1.7873845029452162,0.6681901401862914,Tesakar1969,ClaySand,46264.701445839455,1000.0,1014.4863631067212,1023.8142613501238,1.0448550044424052,0.0011318125878420524,1.763829427646093,1.6439089076177302,0.5340224862386197,59980.02676153941,0.18367257807265228,0.3239670982561686,0.35811725490935864,42.91100273779296,-188.47772609584223,291.34495725673975,-150.9919992746389,2.6106159109756453,2.390951124342749,2.390951124342749,3.660621203126258,0.004230371765836748,-0.031692148991206356,-0.031692148991206356,2.855450769926979,0.048822517320221456,1.1006753029457732,-1.1470325788922182,2.6120201787646726,2.6227584863168687,1.1006753029457732,0.9727955321150241,3.1281133680044686,-0.3494922995450965,0.14076757996455122,0.24829,0.03433268537074149,0.001,38,0.1,subaqueous,0.1386447214697697,0.760804533542078,0.007329128375400441,3.811681851432175,831.5914104102965,4563.307628215433,6163.860050572102,49878875.0510759,0.04058395857154151,3.062229011715403e-06
0.02867275539824618,0.03853538917199012,0.05698029094718959,2.0481078004984736,Non-Conservative,True,188.0,1.4e-06,166356994.44256976,,1.555694051133566,2.2340635897128522,0.6729022273063724,Tesakar1969,Clay,101646.54455201823,1000.0,1028.6727553982462,1038.5353891719901,0.413191727555106,0.0004870994567023251,1.4046808645008044,1.343972305303706,0.6345515001897952,208189.5971382397,0.40655542115284954,0.5710806204524733,0.576024631389134,29.767115336850996,-116.34108573201185,173.39861077239948,-88.46695758514507,0.8717373002020311,0.9293357516555365,0.9293357516555365,3.6479160774374817,0.39059606194396373,0.37070160565032106,0.37070160565032106,4.7803173228788225,0.021879086141396036,1.5677162932210458,-0.19624301916407616,2.154269605484179,2.152521953496196,1.5677162932210458,1.3684911005714553,1.5498707465491168,-1.3440549657910266,0.1730286260334123,0.24305,0.03360811623246493,0.001,13,0.1,subaqueous,0.693933432982929,1.9233167350822424,0.02191221900131377,10.07423003128053,14446.972185347164,40041.453624600654,41090.43427873585,3007709319.134781,0.06013597345870364,1.9528133333333326e-06
0.02725811273282625,0.036184406421200035,0.056021990691027666,2.0596510831000017,Non-Conservative,True,188.0,1.3e-06,180808832.1990856,,1.7857352464815635,2.319389574486651,0.7048183267691784,Tesakar1969,Clay,90851.24635923147,1000.0,1027.2581127328262,1036.1844064212,0.3135926380374101,0.0004988920470008806,1.30831697556759,1.3274729169941397,0.607078565155093,250828.99526050407,0.4223466983162876,0.5525633549821227,0.5346135086106812,28.791721542749176,-118.95170301270461,189.27901759608818,-101.04180767223765,2.2903712830520506,1.8943063271343343,1.8943063271343343,10.722045610272623,0.5960795569514453,0.5598084385711958,0.5598084385711958,0.724586334459511,0.014368580966345017,1.2938625170985245,3.1476513540471953,2.1266290697211367,2.141796711337867,1.2938625170985245,0.2832159322925163,4.649283831563756,-0.39028997461422366,0.16005499418832098,0.20940266592095227,0.02182152029637178,0.001,12,0.1,subaqueous,0.86922042887928,1.946564748187024,0.02368153900157153,13.364994257832613,21802.56868356943,48825.487999726734,44220.142512628016,5468716396.997851,0.05062628308435514,1.6838033333333333e-06
0.05147052401900851,0.06537451527686335,0.09945755991438114,2.0128901801976835,Non-Conservative,True,350.0,1.1399999999999999e-06,420773050.5838097,,2.1624562497815107,2.8032436093423634,0.7704239253969603,Tesakar1969,Clay,92872.4854722197,1000.0,1051.4705240190085,1065.3745152768633,0.2138480727284478,0.00022324396449553303,1.287534785783549,1.2701350243242104,0.6154922948811108,457834.73001604585,0.5928203410733806,0.7632768108520456,0.757439504121259,22.0409198321403,-74.48268296374349,106.227087066153,-53.551273080947674,1.6974928144934118,1.176305792702722,1.176305792702722,14.238225974852948,0.44685760995424006,0.497142600257725,0.497142600257725,1.5423114385893057,0.021538011155269418,1.5534847818214212,3.578324441300318,2.1398926162924123,2.158782380376279,1.5534847818214212,0.5441106741227199,3.7517718421888366,-0.6447379310581065,0.115719859464093,0.14899334446600337,0.030754137234465625,0.001,03,0.1,subaqueous,2.406873410749307,5.137243641516116,0.09802632727657663,19.035587284202055,110195.02381932084,235200.85556401793,229845.78726796395,50451108979.43049,0.08700133078127908,1.2948347999999997e-06
0.06903128166924398,0.08514158847510998,0.1491983900282494,2.2658692022136426,Non-Conservative,True,331.0,1.6e-06,135859588.04719993,,1.4206843234142643,1.8047110944844027,0.8191704151455558,Tesakar1969,Clay,45805.94568925652,1000.0,1069.031281669244,1085.14158847511,0.49545569355902525,0.0007528782295993518,1.257878431663957,1.2333769041556661,0.5464481928103793,152202.42924845847,0.3882095454068414,0.4883204141333354,0.46680004348363263,18.986265986437214,-57.15126197220953,75.89104035705842,-35.87956605052093,2.0635004857327015,1.644444710627626,1.644444710627626,10.327133898422218,-0.11079476649141272,-0.1469306110671465,-0.1469306110671465,2.9917372888992477,0.01713522737171788,1.1921377055311684,0.958295713867166,2.585631471770674,2.605733943229421,1.1921377055311684,0.9955148465993601,3.6161820140162475,-0.40486931204278365,0.08774584487017519,0.11037360573032483,0.02632156128639009,0.001,20,0.05,subaqueous,2.786577389932448,5.546092651421498,0.07026813551777411,16.894838683416715,21206.19240182738,42206.4387191688,36868.607222812694,3227633998.6683297,0.050817248388706666,2.5506133333333326e-06
0.05183064499220814,0.06810549234913742,0.09907575720580325,2.0619336952676703,Non-Conservative,True,353.0,1.1399999999999999e-06,464433963.1049598,,2.0603358658335447,2.7224851599276225,0.7537527709220415,Tesakar1969,Clay,101966.81154971028,1000.0,1051.8306449922081,1068.1054923491374,0.23557215486777366,0.0001688278883937701,1.318915099095959,1.3140004790481763,0.619277223668832,458338.37605867075,0.5934724794962536,0.782739814105526,0.8436423526328735,24.95042803494504,-90.55036863326798,132.56406723760475,-67.71376880425844,1.7545699624981412,1.1241147949586476,1.1241147949586476,20.86264200094564,0.5327699780527205,0.6124247193815141,0.6124247193815141,1.8417814985117948,0.0375769647696498,1.6615722384491496,5.643801008153089,2.1015625812623626,2.1237490938581804,1.6615722384491496,0.6474015461886671,3.89282241775713,-0.6748857998554596,0.12384988132085956,0.16334747849532427,0.03371701459923527,0.001,04,0.1,subaqueous,2.2002025248400265,5.047928317567096,0.12085076681375378,21.53979464669886,100843.7252235365,231365.9267534281,289682.49261044536,46220549254.66253,0.11504332717056422,1.2948347999999997e-06
0.03282855821075827,0.045277718658994215,0.06204094677818625,1.9803295662825646,Non-Conservative,True,144.0,1e-06,244505463.27010992,,0.9361964684890962,1.5297579945288562,0.6941648502686417,Tesakar1969,ClaySand,56705.652665206624,1000.0,1032.8285582107583,1045.2777186589942,1.1409483979791912,0.00035167286271938316,1.5442397629471714,1.3792173987146428,0.6479030055059148,253545.02033026295,0.2492317303024029,0.38487354812109603,0.3865366104303668,30.581239429383732,-111.40301757106283,151.73222113549357,-72.12156764378135,0.8230813161510603,0.8940773577209927,0.8940773577209927,-251.2809869831016,0.5947860842525375,0.5606927051982247,0.5606927051982247,-213.07346007441788,0.028300534241260493,1.710656819156506,-7.298777333508182,2.0730397481874676,2.071063893565577,1.710656819156506,-57.6674181088975,1.5683935410654275,-1.6291145192309144,0.1426527183703507,0.22028999999999999,0.03796581162324649,0.001,32,0.05,subaqueous,0.5754608756873333,2.1191416889271286,0.018444122173968392,8.03142298857934,7295.261971270793,26864.891130086835,27214.652675202346,1849677344.8204477,0.04192766238054675,9.829880704332443e-07
0.009227411606328588,0.013669339756952354,0.017734656918944665,1.9609199140756781,Non-Conservative,True,47.0,1.7649999999999998e-06,14583533.830661735,,0.8651294121509978,1.541117579837071,0.6449366027319515,Tesakar1969,ClaySand,37919.39712637809,1000.0,1009.2274116063286,1013.6693397569524,1.3360965595767427,0.0014917335114168235,1.6751704874029,1.4813839828687532,0.6350284737982131,44573.40756996892,0.1364939818117738,0.2286506900391917,0.2619067882906306,41.287135766125765,-183.5284066446774,290.7295695756995,-154.4646069831238,1.9232531993924387,2.1455249750843044,2.1455249750843044,11.049188196077065,0.6338574127658532,0.6483032049312101,0.6483032049312101,3.652492370652305,0.05089186339573418,1.207193631363034,0.29613794529509546,2.045281463826564,2.0381096019547216,1.207193631363034,1.4037446675780862,2.776638106469018,-0.625404428429057,0.16432357307509923,0.27527,0.03806338677354709,0.001,39,0.1,subaqueous,0.06906246064469851,0.3246527510215952,0.003742380844108075,1.8389080170671976,307.8349206101085,1447.0879389997208,2174.791563134122,13721251.380623395,0.030791984509421017,3.062229011715403e-06
0.0435613143374253,0.06280806053608853,0.09034717942755606,2.2375742665870724,Non-Conservative,True,348.0,1.7649999999999998e-06,168349419.42617345,,1.611126906589535,2.9183657442060125,0.7393934016532836,Tesakar1969,ClaySand,81270.14017611244,1000.0,1043.5613143374253,1062.8080605360885,0.38524809398700494,0.0006151155299969187,1.67871942138254,1.441831163531436,0.5957357661335717,144309.7019854367,0.44190935609180815,0.7418418185619711,0.7009138742788454,26.333221276005528,-72.09479137801434,63.48180252908752,-16.619520889369017,0.7974227298260546,0.789158071775869,0.789158071775869,0.9563758820630044,-0.12044501636761472,-0.11858534634421028,-0.11858534634421028,3.128075118215626,0.028554731090451445,1.4038937838755983,-0.14547192961150018,2.4506364389891075,2.4509118538229595,1.4038937838755983,0.9352408190705592,1.6174964850662592,-0.8942513057120912,0.10497882955024285,0.17623,0.03637613226452906,0.001,43,0.125,subaqueous,0.9045872520557041,4.27941897272819,0.035251319828509584,11.024951927246038,16317.58959549797,77195.20957815359,65110.403475238876,2354786491.6469746,0.07467448460610504,3.062229011715403e-06
