x	y
14.490	0.075
21.292	0.200
31.478	0.288
38.140	1.060
41.212	1.818
43.970	3.006
46.053	4.589
45.462	6.540
42.505	7.671
39.488	8.699
36.512	9.671
33.346	10.619
30.379	11.565
27.340	12.571
24.397	13.509
21.483	14.585
18.511	15.753
15.649	16.936
12.831	18.121
10.104	19.233
7.241	20.617
4.580	21.904
2.221	23.354
0.615	25.265
0.160	28.282
